id,postcode,woonplaats,alternatieve_schrijfwijzen,gemeente,provincie,netnummer,latitude,longitude,soort
317,1560,Krommenie,,Zaanstad,Noord-Holland,75,52.4989308,4.8004434,Postbus
320,1566,Assendelft,,Zaanstad,Noord-Holland,75,52.4691062,4.7396672,Adres
322,1600,Enkhuizen,,Enkhuizen,Noord-Holland,228,52.7040983,5.2948557,Postbus
325,1606,Venhuizen,,Drechterland,Noord-Holland,228,52.6646778,5.2065474,Adres
326,1607,Hem,,Drechterland,Noord-Holland,228,52.661111,5.183056,Adres
327,1608,Wijdenes,WYDENES,Drechterland,Noord-Holland,229,52.6364914,5.157782,Adres
328,1609,Oosterleek,,Drechterland,Noord-Holland,229,52.6389783,5.1971095,Adres
329,1610,Bovenkarspel,,Stede Broec,Noord-Holland,228,52.3878721,4.9500197,Postbus
331,1613,Grootebroek,,Stede Broec,Noord-Holland,228,52.6982227,5.2229184,Adres
332,1614,Lutjebroek,,Stede Broec,Noord-Holland,228,52.6983506,5.2057581,Adres
333,1616,Hoogkarspel,,Drechterland,Noord-Holland,228,52.6925934,5.1652989,Adres + Postbus
334,1617,Westwoud,,Drechterland,Noord-Holland,228,52.6849913,5.1342075,Adres
335,1619,Andijk,ANDYK,Andijk,Noord-Holland,228,52.7454906,5.2208756,Adres + Postbus
336,1620,Hoorn,Hoorn Nh,Hoorn,Noord-Holland,229,52.6467478,5.0469633,Postbus
344,1631,Oudendijk,OUDENDYK,Koggenland,Noord-Holland,229,52.6010281,4.966909,Adres
345,1633,Avenhorn,,Koggenland,Noord-Holland,229,52.6194727,4.9527342,Adres + Postbus
346,1634,Scharwoude,,Koggenland,Noord-Holland,229,52.6221832,5.0124124,Adres
347,1636,Schermerhorn,,Schermer,Noord-Holland,72,52.6005503,4.8897767,Adres
348,1641,Spierdijk,SPIERDYK,Koggenland,Noord-Holland,229,52.6454451,4.9408649,Adres
351,1645,Ursem,,Koggenland,Noord-Holland,72,52.627698,4.891242,Adres
